CNPJ,nome fantasia,razao social,Nome contato,Setor,Atividade (CNAE),Endereço,Número,Bairro,Cidade,UF,CEP,PORTE,Fundação,Capital Social,MEI,Simples,Origem,Site,email,telefone,socio
06308802000140,ESEP - ESCOLA SUPERIOR DE EDUCACAO PROFISSIONAL,QUALYMAR CONSULTORIA E TREINAMENTO LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA DUARTE SCHUTEL,181,CENTRO,FLORIANOPOLIS,SC,88015640,Micro Empresa,27/05/2004,"10.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,altair.consultor.professor@gmail.com,48  91104040,
17883061000147,LAVORO CONSULTORIA,LUIZ ALEXANDRE ZUGNO,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA SAO MARCELINO CHAMPAGNAT,250,PIO CORREA,CRICIUMA,SC,88811610,Micro Empresa,05/04/2013,"50.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  91040402,
07202204000154,FEEDER CONSULTORIA,BORBA CAPACITACAO E CONSULTORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA JAIR HAMMS,38,PEDRA BRANCA,PALHOCA,SC,88137084,Micro Empresa,26/01/2005,"20.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  91013500,"CLEBER BORBA NASCIMENTO (Sócio-Administrador),MARCUS DIAS (SÓCIO/ADMINISTRADOR)"
23020677000197,,SULPRIME CONSULTORIA DE NEGOCIOS EIRELI,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA BRASIL,855,CENTRO,BALNEARIO CAMBORIU,SC,88330045,Micro Empresa,07/08/2015,"80.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,48  88646470,MARCO AURELIO LUCIANO (Titular Pessoa Física Residente Ou Domiciliado No Brasil Ou Titular Pessoa Física Residente)
05041775000129,ARIZI ASSOCIADOS,ARIZI ASSOCIADOS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA VIDAL RAMOS,140,CENTRO,FLORIANOPOLIS,SC,88010320,Micro Empresa,10/05/2002,"2.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),arizi.com.br,arizi@arizi.com.br,48  88355417,"CARLOS ARIZI (Sócio-Administrador),VIONE BERNADETE CORREA ARIZI (SÓCIO/ADMINISTRADOR)"
06109835000160,MATTIZ CONSULTORIA EM COMUNICACAO,MATTIZ CONSULTORIA EM COMUNICACAO E DESIGN LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA CORONEL PEDRO BENEDET,333,CENTRO,CRICIUMA,SC,88801250,Micro Empresa,05/02/2004,,Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,danielle@mattizdesign.com.br,48  88344143,"DANIELLE DE OLIVEIRA ZABOTTI (Sócio-Administrador),PEDRO HENRIQUE MATTOS (SÓCIO/ADMINISTRADOR)"
05781241000139,ANMCHARA CONSULTORIA E ASSESSORIA,ANMCHARA CONSULTORIA E ASSESSORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA DA PRACA,241,PEDRA BRANCA,PALHOCA,SC,88137086,Micro Empresa,10/07/2003,"10.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),anmchara.com.br,marcus@anmchara.com.br,48  88278644,"HERMENGARDA LEITE GURGEL ANATOCLES (Sócio-Administrador),MARCUS VINICIUS ANATOCLES DA SILVA FERREIRA (Sócio-Administrador)"
07437959000138,,MAKALU CONSULTORIA EMPRESARIAL,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA JOSE ACACIO MOREIRA,1011,DEHON,TUBARAO,SC,88704001,Micro Empresa,30/05/2005,"10.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  88278014,"CARLOS ALBERTO SIMOES (Sócio Com Capital),EDUARDO DE ARAUJO ALCANTARA (Sócio Com Capital),GUSTAVO DOMINGUES DIAS (Sócio-Administrador)"
01983967000101,IMPULSE ASSESSORIA,IMPULSE ASSESSORIA E REPRESENTACAO LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA LUIZ MARTINELLO,150,MINA BRASIL,CRICIUMA,SC,88811310,Médio/Grande Porte,17/07/1997,"5.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,48  88243050,"GABRIEL ARNS MORETTI (Sócio-Administrador),GLAUCO ARNS MORETTI (SÓCIO/ADMINISTRADOR)"
23690243000102,,M.J.A CONSULTORIA EIRELI,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA JOAO PINTO,30,CENTRO,FLORIANOPOLIS,SC,88010420,Micro Empresa,17/11/2015,"80.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,marco@mja.srv.br,48  88220046,CANDIDA MARIA DA CONCEICAO CARVALHO NEVES (Titular Pessoa Física Residente Ou Domiciliado No Brasil Ou Titular Pessoa Física Residente)
05923944000154,,SR ASSESSORIA E CONSULTORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA PRESIDENTE COUTINHO,311,CENTRO,FLORIANOPOLIS,SC,88015230,Micro Empresa,10/10/2003,,Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,srosa@tuv-nord.com,48  88091470,"STAEL MARTINS ROSA (Sócio-Administrador),VANESSA MARTINS ROSA (SÓCIO/ADMINISTRADOR)"
12747910000111,AMBIENTE ASSESSORIA HOLISTICA EMPRESARIAL,AMBIENTE ASSESSORIA HOLISTICA EMPRESARIAL EIRELI,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA LAURO LINHARES,2123,TRINDADE,FLORIANOPOLIS,SC,88036003,Micro Empresa,25/10/2010,"78.800,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  88075848,LISANDRA PEREIRA ALVES (Titular Pessoa Física Residente Ou Domiciliado No Brasil Ou Titular Pessoa Física Residente)
24747116000157,BLASTERTEC,RUDINEI ANTONIO DE BONA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA MELEIRO,256,LUZIMAR GOLFINHOS,BALNEARIO ARROIO DO SILVA,SC,88914000,Micro Empresa,06/05/2016,"10.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,rudinei@representacoespiloto.com.br,48  88012446,
06538387000110,,INICIATIVA CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA ALBERTO BERNARDO GUESSER,S/N,CAMPO DE DEMONSTRACAO,SAO PEDRO DE ALCANTARA,SC,88125000,Micro Empresa,14/07/2004,,Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,heraldo.dias.1988@gmail.com,48  88010587,"CARLOS EDUARDO NEGRAO BIZZOTTO (Sócio-Administrador),MARA REGINA PEREIRA BIZZOTTO (Sócio-Administrador)"
21055112000110,ALFATEM,ALFATEM CONSULTORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",PRACA NEREU RAMOS,90,CENTRO,BIGUACU,SC,88160116,Micro Empresa,15/09/2014,"10.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,leandro@!alfatem.com.br,48  84696034,TAINA TEREZINHA COELHO (SÓCIO/ADMINISTRADOR)
04554233000197,,ASPLANER ASSESSORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",TRAVESSA PEDRA BRANCA,464,CIDADE UNIVERSITARIA PEDRA BRANCA,PALHOCA,SC,88137272,Micro Empresa,19/04/2001,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,neimarbbraga@gmail.com,48  84464280,SERGIO BARCELLOS DE ALMEIDA (SÓCIO/ADMINISTRADOR)
20064678000145,FUTURIZZE,FUTURIZZE CONSULTORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",TRAVESSA SANTA ANNA,99 D,ESPLANADA,CHAPECO,SC,89812428,Micro Empresa,04/04/2014,"10.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,48  84445544,"DELCI CLADES BOTTCHER (Sócio-Administrador),GELSON RENAN TAVARES PINTO (Sócio-Administrador)"
21602119000104,TRAVISANI ASSESSORIA,TRAVISANI E MARAN BUENO ASSESSORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA BELMIRA ISABEL MARTINS,42,ESTREITO,FLORIANOPOLIS,SC,88075145,Micro Empresa,19/12/2014,"35.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),travisani.com.br,ana@travisani.com.br,48  84256337,
10157051000185,SOCIALPRICE,SOCIALPRICE LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA PROFESSOR OSMAR CUNHA,183,CENTRO,FLORIANOPOLIS,SC,88015100,Micro Empresa,14/07/2008,"15.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  84078131,"CASSIO FERNANDO BIFFI (Sócio-Administrador),FABIANO LUIZ PIOVEZAN (SÓCIO/ADMINISTRADOR),NERI GERVASONI (SÓCIO/ADMINISTRADOR)"
13011199000103,ZANONI CONSULTORIA GASTRONOMICA,M12 CONSULTORIA GASTRONOMICA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RODOVIA SC 434,2391,PALHOCINHA,GAROPABA,SC,88495000,Micro Empresa,15/12/2010,"5.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,zanoni79@yahoo.com.br,48  84027612,"GABRIELA AMBROSIO (SÓCIO/ADMINISTRADOR),MARCELO ZANONI (Sócio-Administrador)"
05409732000153,V+ ESTRATEGIAS,V+ ESTRATEGIAS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA CONEGO BERNARDO,101,TRINDADE,FLORIANOPOLIS,SC,88036570,Micro Empresa,27/11/2002,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,machadojulio@terra.com.br,48  78113409,"JULIO CLAUDIO MACHADO PACHECO (Sócio-Administrador),LETICIA BITTENCOURT PACHECO ROCHA (Sócio-Administrador)"
05677889000160,NEW BELLE,NEW BELLE PRODUTOS DE BELEZA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA SANTOS SARAIVA,555,ESTREITO,FLORIANOPOLIS,SC,88070100,Pequeno Porte,21/05/2003,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  6263288,CYNARA RITA VICENZI ROCHA (SÓCIO/ADMINISTRADOR)
05610239000105,RAC - REPRESENTACAO ASSESSORIA E COBRANCA LTDA,RAC - REPRESENTACAO ASSESSORIA E COBRANCA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA PATRICIO LIMA,530,HUMAITA,TUBARAO,SC,88704410,Micro Empresa,27/03/2003,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,financeirorac@hotmail.com,48  41031399,"MATEUS PERITO (Sócio-Administrador),MIRIAN TERESINHA DA SILVA PERITO (SÓCIO/ADMINISTRADOR)"
21962657000100,BIANCAMANO CAPITAL,BIANCAMANO CONSULTORIA EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA LAELIA PURPURATA,74,JOAO PAULO,FLORIANOPOLIS,SC,88030354,Médio/Grande Porte,27/02/2015,"5.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),biancamano.adv.br,ingrid@biancamano.adv.br,48  40621214,"EDUARDO GOMES APOLINARIO (SÓCIO/ADMINISTRADOR),FABRIZIO CARLO MEZZARI (SÓCIO/ADMINISTRADOR),MANUELA GOMES MAGALHAES BIANCAMANO (SÓCIO/ADMINISTRADOR),PATRICIA SCHMITT GOULART (SÓCIO/ADMINISTRADOR),ROBERTA DIAS FERNANDES (SÓCIO/ADMINISTRADOR),SABRINA BEZERRA DE SOUZA (SÓCIO/ADMINISTRADOR),THAINA PAULA DA SILVA (SÓCIO/ADMINISTRADOR)"
04896540000156,TUDOB2B CONSULTORIA LTDA,TUDOB2B CONSULTORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA QUATRO DE FEVEREIRO,375,ITOUPAVA NORTE,BLUMENAU,SC,89052500,Micro Empresa,15/02/2002,"40.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),tudob2b.com,contato@tudob2b.com,48  40420862,"GLENO GLICERIO HEINEMANN SALCEDO (Sócio-Administrador),MARA RUBIA TILLMANN SALCEDO (SÓCIO/ADMINISTRADOR)"
03844011000146,,P S M CONSULTORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA PICA-PAU,374,PRAIA DO SONHO,PALHOCA,SC,88139144,Micro Empresa,30/05/2000,,Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,lps.contabil@terra.com.br,48  38799664,"REGINA HELENA MARTINS DA SILVEIRA (SÓCIO/ADMINISTRADOR),ROSALICE CRISTINA MARTINS (Sócio-Administrador)"
06940008000114,,G QUATRO COMERCIO INTERNACIONAL E SERVICOS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA RIO BRANCO,380,CENTRO,FLORIANOPOLIS,SC,88015200,Pequeno Porte,09/08/2004,"100.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  38794333,"FERNANDA SENS VOLPATO (Sócio-Administrador),LEANDRO GOMES VOLPATO (Sócio-Administrador)"
01775276000104,,REALIS EMPREENDIMENTOS E PARTICIPACOES LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA AFONSO PENA,493,CANTO,FLORIANOPOLIS,SC,88070650,Médio/Grande Porte,13/02/1997,"100.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,jzagon@gmail.com,48  38793407,JACQUELINE ZAGO NOGUEIRA (SÓCIO/ADMINISTRADOR)
24724325000185,SI SERVICOS ADMINISTRATIVOS,SSIM ASSESSORIA E CONSULTORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",TRAVESSA MIGUEL SOUZA REIS,88,CENTRO,TUBARAO,SC,88704340,Micro Empresa,03/05/2016,"20.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,felipe.medeiros@triersistemas.com.br,48  36589800,IRENE DA ROSA SOUSA (SÓCIO/ADMINISTRADOR)
05566672000182,,EPLAN CONSULTORIA ASSOCIADA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA GETULIO VARGAS,1945,CENTRO,BRACO DO NORTE,SC,88750000,Micro Empresa,19/03/2003,"10.001,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,48  36588883,"ANTONIO JOAO TAVARES (SÓCIO/ADMINISTRADOR),SALOMAO WESTPHAL SANDRINI (SÓCIO/ADMINISTRADOR),URY SANDRINI NETO (Sócio-Administrador)"
01943630000162,,LABORE - SOLUCOES PARA ADMINISTRACAO PUBLICA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA HENRIQUE HEIDEMANN,210,CENTRO,SANTA ROSA DE LIMA,SC,88763000,Micro Empresa,01/07/1997,,Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,co.silva@matrix.com.br,48  36583932,"LUIZA STACHECHEM RECH SANTOS (Sócio-Administrador),OLDACIR RECH DOS SANTOS (SÓCIO/ADMINISTRADOR)"
24771326000180,EMBRAGEN,EMBRAGEN EMPRESA BRASILEIRA DE GESTAO DE ENERGIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA JACO HENRIQUE BUSS,662,PARQUE DAS ACACIAS,SAO LUDGERO,SC,88730000,Micro Empresa,09/05/2016,"6.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,fisco@contlex.com.br,48  36571840,"CRISTIANE BECKER (Sócio-Administrador),GETULIO COAN (Sócio-Administrador)"
22575391000105,"APLICARE CONSULTORIA, ASSESSORIA E TREINAMENTO",APLICARE CONSULTORIA E REPRESENTACAO COMERCIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA JOAO PESSOA,35,MAGALHAES,LAGUNA,SC,88790000,Micro Empresa,02/06/2015,"10.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,"medeiroscontab@yahoo.com.br,contato@aplicare.com.br","48  36471034,(54)9981176788","FABIANA SILVEIRA (Sócio-Administrador),JARBAS SMANIA ALANO (Sócio-Administrador)"
04642325000129,,MATIZ CONSULTORIA EMPRESARIAL LTDA.,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA LUIZ MARTINS COLLACO,36,CENTRO,TUBARAO,SC,88701330,Micro Empresa,27/08/2001,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  36326174,"ADRIANO DIAS SOUZA (Sócio-Administrador),IZIS TEREZINHA TONDO SOUZA (SÓCIO/ADMINISTRADOR)"
07102175000159,CELLO BRASIL,CELLO BRASIL - IMPORTACAO E EXPORTACAO LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RODOVIA BR 101,S/N,CENTRO,TIJUCAS,SC,88200000,Micro Empresa,31/08/2004,,Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  36283528,CLODOALDO MONTEIRO (SÓCIO/ADMINISTRADOR)
11233261000178,STANDARD CONSULTORES ASSOCIADOS,STANDARD CONSULTORES ASSOCIADOS LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA TUBALCAIN FARACO,85,CENTRO,TUBARAO,SC,88701150,Pequeno Porte,07/10/2009,"20.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,nac@portalcontab.com.br,48  36264886,"LUCIANO RODRIGUES MARCELINO (SÓCIO/ADMINISTRADOR),VALDECIR JOSE GONCALVES (Sócio-Administrador)"
10527690000195,,NELSON AGUIAR NEVES,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA GETULIO VARGAS,1965,HUMAITA,TUBARAO,SC,88704300,Micro Empresa,11/12/2008,"5.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  36263799,
02975988000130,,CEIA - CONSULTORIA E ASSESSORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA RUI BARBOSA,625,SANTO ANTONIO DE PADUA,TUBARAO,SC,88701601,Pequeno Porte,09/02/1999,"800.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,48  36261438,"EDNA MARIA TONTINI PARIS (Sócio-Administrador),WAGNER PARIS (Sócio-Administrador)"
08096338000109,,GLOBAL ASSESSORIA E CONSULTORIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA MANOEL EMERICK,567,OFICINAS,TUBARAO,SC,88702340,Micro Empresa,22/06/2006,"10.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,48  36224338,"EDILSON CITADIN RABELO (Sócio-Administrador),MARCIA JUCILEIA GOMES RABELO (SÓCIO/ADMINISTRADOR)"
14445819000177,,MARCIO MENDES HOLDING DE PARTICIPACOES LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA PATRICIO LIMA,310,HUMAITA,TUBARAO,SC,88704410,Médio/Grande Porte,10/10/2011,"22.582.963,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  36218000,TOBIAS TORCELLI MENDES (Sócio Ou Acionista Menor (Assistido/Representado))
21990735000180,DM - ASSESSORIA EMPRESARIAL,D & M - ADMINISTRACAO E ASSESSORIA EMPRESARIAL EIRELI,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA PEDRO JOAO PEREIRA,646,MATO ALTO,ARARANGUA,SC,88904174,Pequeno Porte,05/03/2015,"97.300,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),dmassessoria.net.br,fiscal@dmassessoria.net.br,48  35262956,ELCIO ANTONIO DAMAZIO (Titular Pessoa Física Residente Ou Domiciliado No Brasil Ou Titular Pessoa Física Residente)
03530374000107,M & M CONSULTORIA,M & M CONSULTORIA IMOBILIARIA LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",AVENIDA XV DE NOVEMBRO,1441,CENTRO,ARARANGUA,SC,88900019,Micro Empresa,26/11/1999,"5.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,48  35246060,"JUCELITO MALGARISI (Sócio-Administrador),VIDALVO LUIZ MALGARISI (SÓCIO/ADMINISTRADOR)"
04891620000119,CONSOLIDE SUA MARCA,CONSOLIDE ASSESSORIA EMPRESARIAL ONLINE LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA ANTONIO MANOEL PAULINO,678,ALTO FELIZ,ARARANGUA,SC,88905030,Micro Empresa,14/01/2002,"2.000,00",Não,Sim,Gerador de Leads (CONSULTORIA SC-150410),,,48  35241925,"ALAN MARCOS DA SILVA (Sócio-Administrador),FRANCIELLE DA SILVA PEDRO (SÓCIO/ADMINISTRADOR)"
10930795000190,ECONOMIZA,ECONOMIZA ASSESSORIA EMPRESARIAL EIRELI,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA SAO JOSE,392,CENTRO,CRICIUMA,SC,88801520,Médio/Grande Porte,30/06/2009,"100.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,mmachadocontabilidade@gmail.com,48  35240701,DIRNEI ESTEVAM MACHADO (Titular Pessoa Física Residente Ou Domiciliado No Brasil Ou Titular Pessoa Física Residente)
24504844000138,RCH CONSULTORIA EM GESTAO EMPRESARIAL,RCH CONSULTORIA EM GESTAO EMPRESARIAL LTDA,,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica (7020400)",RUA ADDO CALDAS FARACO,48,MICHEL,CRICIUMA,SC,88803088,Micro Empresa,31/03/2016,"10.000,00",Não,Não,Gerador de Leads (CONSULTORIA SC-150410),,,48  34690279,"HENRIQUE ARENT WARMLING (Sócio-Administrador),RENI WARMLING (Sócio-Administrador)"
